XML_ID|AMOUNT
1206336|254
146564|11
244126|119
403512|392
7302481|35
6558044|591
9840096|45
12614762|174
13677554|40
14396500|54
5217828|1083
5877794|18
6910927|12
7099272|218
12415152|1106
9735764|109
14486633|14
10547494|248
3675487|548
6958434|4030
8220170|150
10731071|231
13066272|80
4197094|10
4670215|29
9677181|76
11599423|102
10373395|11
14114133|99
248147|35
5845300|101
248928|38
145807|13
2093433|51
9719783|2208
10726782|56
11723043|72
13214263|606
1634767|912
1872316|11
7326972|33
11746825|18
12157662|14
10694222|1
14351912|13
517420|686
4022970|37
8798307|22
10508080|26
143747|101
1076263|2649
243645|693
5212098|61
7847025|31
9926416|36
14085960|57
13554660|202
146424|120
2289003|7
2796982|671
3942971|14
9300694|310
8032184|167
13144950|51
14348759|29
145397|40
1581452|91
6175746|529
6554035|151
6117888|29
8969425|384
13554666|75
9766157|100
10687771|34
7216867|110
9745445|17
8356790|176
10290216|7
10694253|31
1298551|16
420390|218
9995696|259
10767801|243
12465715|35
11872206|17
10509071|234
824779|61
4307900|12
11512894|2032
11238472|72
141757|405
4083702|50
4820981|198
5640611|49
5583493|343
6366315|35
9680606|70
14411221|24
14263125|210
241593|63
5216551|288
12160589|39
12891642|245
14180226|2010
1581184|45
1941763|80
2372957|322
4466340|96
9733902|51
9785486|25
11612835|1260
13682734|95
14408995|15
10893302|512
456352|914
145178|1592
252260|145
4642159|20
5194880|37
4992924|65
7618927|197
13574679|13
14498896|140
141594|70
2810666|1504
4078135|143
8869343|18
1732608|15
4494032|98
7167562|360
10011955|42
10392480|17
14008322|51
233058|148
4641642|76
9144915|53
9745480|51
9737534|138
5203868|22
10124927|10
12397564|119
141846|164
2846452|58
2319214|4168
146536|75
234192|130
1009021|86
9671379|196
10773117|13
10698418|15
11735176|3
13917010|87
14486301|6
241591|43
142647|2160
146145|171
6068941|54
6160879|2424
10470139|54
14469748|21
12929562|5
1661477|5509
3412532|66
11822310|17
12886268|126
2291117|435
2590697|94
4617917|13
4344071|34
6067640|277
6234650|271
13292397|680
7302503|37
13056573|63
145637|780
238417|57
143885|166
3387514|22
10117845|343
10128184|31
11180856|68
13376202|29
147530|189
253008|35
3893746|135
5000273|72
6910949|215
9739409|242
14325095|117
12282657|54
12146058|23
12912137|16
13602445|34
10095298|4
12860443|14
13467583|87
14487955|125
146927|1454
5793496|192
6068731|3132
9678610|295
9764639|52
13470244|59
10708558|12
250483|586
9715528|154
10651343|38
12129847|293
143978|84
1904746|412
689865|56
1036595|613
5342996|195
6701364|16
13471098|20
249777|36
4022971|23
8357123|3612
14384537|29
14494925|11
10852452|31
144578|100
364372|47
3909070|678
9923438|24
14267167|83
14384354|16
141934|32
4452270|1020
5410392|40
8037520|251
2254637|181
4482542|190
10166698|33
9790193|45
13240984|5329
146550|45
252141|24
144810|15
4397693|34
5171593|433
9750762|1014
10572524|47
14377920|80
2799104|10
5252422|67
5964524|610
5612482|400
6920651|112
6935028|90
10259321|388
11335726|10
13336713|48
5833824|745
5204376|67
12016629|132
14360408|30
1600980|36
472008|461
9759431|3
8537403|676
10116970|18
10181001|98
12415165|63
14347788|652
7967822|1125
11504755|12
232253|341
232587|13
146991|151
5297159|88
8568279|54
10686734|96
5619237|205
7499605|5
12191803|166
144657|93
4294508|75
10678250|94
11678901|429
13170567|51
14371040|66
12615770|65
14305511|213
147313|1696
1010272|267
2134054|931
10109318|49
6837508|1124
10643882|8
14341781|100
1576015|561
233162|18
4431814|40
4317816|107
4908972|33
6433227|409
9721717|457
8697783|356
10011948|288
3633222|281
5813221|11
1491223|10
2122578|1218
2903806|204
10115260|9
10726847|21
5036593|98
5583512|1278
6131496|268
13205273|2190
14444073|340
14301976|10
141621|52
3079846|1093
4690028|396
5403617|253
10508075|11
14368835|591
14341187|15
13478749|29
251788|168
7201536|35
10502649|1
10470127|47
439696|11
1509822|219
1683267|218
3291078|176
6890958|94
9976270|1270
13139750|180
1013458|1205
143925|42
143344|175
7406453|266
9760569|74
10407286|305
11262930|1515
13375314|49
4226685|34
5271327|59
5863348|421
6452272|96
7302852|15
10392479|19
13064168|7
14391731|294
242264|1199
4307621|782
5709862|500
9758850|15
13344979|1620
144017|2018
956251|694
2389568|77
5007596|63
6911093|186
9757816|20
147622|248
9686201|52
9746895|45
951264|66
4935085|101
9685013|7
9740671|3206
8405660|971
13353343|146
14402713|57
13470246|7
2297197|575
1916508|44
2382956|581
4492261|477
4599493|39
13197712|31
12362849|294
144011|2427
4435827|34
3826406|132
4535826|18
6332624|15
7206999|4
8767709|321
9759477|17
8513509|37
12502024|177
3111340|41
6202807|48
10237645|67
12969632|858
5108792|13
10016405|15
9690290|4
1248827|107
1715058|14
429076|665
146214|167
5169900|254
10429609|89
1539227|163
1807064|1032
10122402|45
14473172|24
1605211|4
2265458|1200
249651|25
746903|98
4848478|31
14351704|28
6822743|36
6323837|402
6777833|14
7781718|4
14336492|108
14007196|22
246872|17
2606227|28
4395758|239
9739390|27
1080201|57
2608544|24
9889242|13
4495833|5
6553815|636
10293190|8
232328|1108
1012143|284
2682011|42
6938539|43
10474307|47
2372946|450
7708631|119
9687701|3433
12174349|150
10033228|20
12837956|112
1554508|2179
1219736|8
6715931|38
10270454|11
10991648|137
13098317|94
1856572|1070
5700309|22
6234649|500
11820166|2474
12880736|158
11928559|36
4179661|106
5139329|22
5474583|73
6262751|1763
10006395|751
10467090|68
14382478|27
2134043|3554
6264522|64
9552298|110
10456929|3
10731060|182
12392805|589
145288|11
2146417|96
2335496|15
2586462|1088
4222292|258
5402292|53
6480095|17
9359138|1397
12860444|156
1230811|2016
9747237|36
11262933|825
14369777|76
146229|411
234776|3284
4744782|2241
11747952|1236
11100573|906
12398498|10
251664|81
142217|1762
147261|86
146988|54
10294280|161
3558489|411
6354288|32
6181093|65
9040928|110
10020733|197
232040|1590
243033|101
1792546|507
7977515|72
9766152|49
9985701|40
10456972|6
9689878|88
2359109|128
7618686|41
8265286|197
8896479|59
10243451|41
12268867|6
6741620|843
10204943|3
14308068|21
14391409|111
11925356|16
12580803|54
12663844|204
1640809|872
3615272|14
6261890|125
9735035|77
10411005|155
145364|2354
3108560|50
7077314|1576
9770603|11
10250324|3
11838322|40
12262901|18
147342|1606
1558786|80
241573|778
5585032|34
9675916|394
9792202|119
10392498|13
10362626|90
10668706|28
6350669|61
14394939|36
12635553|52
13444669|123
1593021|23
6249680|1697
7628325|47
10693175|57
238563|38
814012|179
2324493|696
3564023|258
11476454|26
14392897|11
239343|21
4090139|56
674402|16
250457|97
146203|81
146154|365
4504015|41
5169533|3
7310292|77
9686204|24
14293626|10
14415645|53
12469918|95
1213600|31
1103352|49
1635706|30
6544239|48
9789791|77
5514374|192
7142884|152
9723648|1428
10461927|21
9735804|49
11371604|4
14457627|89
143360|101
411928|773
4810033|177
5496520|258
7443609|43
9687090|77
1580939|101
239836|250
4687457|69
8525858|18
9867574|35
14241405|560
146914|24
1206178|3798
3001875|16
4565488|54
6233059|8
8473384|15
